Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-2.10662189125045,0.24186025621777169,Non-Stationary
pelvis YPOS,-4.157229299701022,0.0007777825941684485,Stationary
pelvis ZPOS,-0.29561101064781387,0.9261236483354186,Non-Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-2.57793904113812,0.097643076926277,Non-Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-3.195825775010509,0.02022757473930477,Stationary
spine YROT,-3.5884078351833297,0.005986551703687578,Stationary
spine ZROT,-3.5903604032015295,0.005948012958375254,Stationary
spine.001 XROT,-2.910999184909242,0.04408381130580031,Stationary
spine.001 YROT,-2.2415667287462266,0.19150635285485262,Non-Stationary
spine.001 ZROT,-2.2234136396226565,0.19785765619570678,Non-Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.603686108388861,0.005690947039999832,Stationary
neck YROT,-1.7874198122591665,0.38672505142317526,Non-Stationary
neck ZROT,-1.7403535358384856,0.4104501396169684,Non-Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-3.6175115894605994,0.005434935031251364,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-2.025455726830485,0.2755243748919196,Non-Stationary
shoulder.L YROT,-2.935180695788007,0.041407253343456525,Stationary
shoulder.L ZROT,-2.3551151847621745,0.1548074524610566,Non-Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.749648536392837,6.782258920862369e-05,Stationary
upper_arm.L YROT,-3.1305999186165767,0.02436998556808082,Stationary
upper_arm.L ZROT,-4.694891399980439,8.603209800845252e-05,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-4.796581955508415,5.521069494331462e-05,Stationary
forearm.L YROT,-4.1677131564968555,0.0007469083406025951,Stationary
forearm.L ZROT,-5.654172402918551,9.706246065809758e-07,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-2.0235668277256544,0.2763364093947058,Non-Stationary
shoulder.R YROT,-2.9687749015951566,0.037915123901102576,Stationary
shoulder.R ZROT,-2.0625806789288075,0.2598247452626432,Non-Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-2.2736611789958694,0.18060350776559225,Non-Stationary
upper_arm.R YROT,-2.1279043858763127,0.2334431261585716,Non-Stationary
upper_arm.R ZROT,-2.5764833773299807,0.09795573140792896,Non-Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-3.3277038515332538,0.013684625294101308,Stationary
forearm.R YROT,-3.4439214254047914,0.009549667555361442,Stationary
forearm.R ZROT,-4.299277491463845,0.0004454938215399533,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-2.230782151896694,0.19526356405331602,Non-Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-2.2301629633226487,0.19548070723225547,Non-Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-2.2260257668207677,0.19693554936838942,Non-Stationary
thigh.L XROT,-2.1943504400687504,0.20830230744340972,Non-Stationary
thigh.L YROT,-3.1890402299149434,0.02062790322426681,Stationary
thigh.L ZROT,-3.3090628872187793,0.014478191726739545,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-2.9113154494829647,0.04404789895031402,Stationary
shin.L YROT,-2.6698486221135873,0.07940266823869696,Non-Stationary
shin.L ZROT,-3.867808137926333,0.0022849581130258254,Stationary
foot.L XROT,-3.4520286262744055,0.009308035808714222,Stationary
foot.L YROT,-1.630221401015703,0.4673748252146602,Non-Stationary
foot.L ZROT,-1.733990833461004,0.4136899112644451,Non-Stationary
heel.02.L XROT,-2.3207775119576257,0.1653543446608059,Non-Stationary
heel.02.L YROT,-1.7966446024577463,0.3821288232706111,Non-Stationary
heel.02.L ZROT,-2.1854278299884395,0.21157675984189028,Non-Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-2.2304867253145084,0.19536714787363446,Non-Stationary
thigh.R XROT,-2.666327848587456,0.08004845059031446,Non-Stationary
thigh.R YROT,-3.328352502166547,0.013657717543306767,Stationary
thigh.R ZROT,-5.046160120575191,1.7968943121249437e-05,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-2.8412244083048983,0.05262215707747364,Non-Stationary
shin.R YROT,-2.509440069539788,0.11319431685431786,Non-Stationary
shin.R ZROT,-2.2454053379980814,0.1901803729948518,Non-Stationary
foot.R XROT,-4.812597808058002,5.14470549427304e-05,Stationary
foot.R YROT,-1.8135062569313227,0.3737771281611821,Non-Stationary
foot.R ZROT,-2.3468663277466644,0.15729764558504594,Non-Stationary
heel.02.R XROT,-1.9657022823902641,0.3018108941354315,Non-Stationary
heel.02.R YROT,-2.0756394289121656,0.25442224205045194,Non-Stationary
heel.02.R ZROT,-2.9142748670385177,0.0437130285957909,Stationary
