Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-9.801631874201043,5.973671882892832e-17,Stationary
pelvis YPOS,-4.949469675946701,2.7913300565923074e-05,Stationary
pelvis ZPOS,-5.102389903612651,1.3864697491677853e-05,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-8.356819575134224,2.8941545529195647e-13,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-4.8753328323287475,3.894214092292587e-05,Stationary
spine YROT,-8.190056254531346,7.711118857022612e-13,Stationary
spine ZROT,-6.9832910521785605,8.088149122933661e-10,Stationary
spine.001 XROT,-6.313195726496685,3.197104790511275e-08,Stationary
spine.001 YROT,-9.484917637721821,3.78537863219225e-16,Stationary
spine.001 ZROT,-9.587415375527744,2.079289432547488e-16,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.366913995186542,0.01213982853656585,Stationary
neck YROT,-6.129754417007547,8.457782049931008e-08,Stationary
neck ZROT,-7.960115608146351,2.9641262735649677e-12,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-4.8641568218228555,4.093186521776047e-05,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-6.471981069713326,1.3600226620492171e-08,Stationary
shoulder.L YROT,-6.127553258789697,8.556235317735203e-08,Stationary
shoulder.L ZROT,-6.525567896983158,1.0166828260431313e-08,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.5431544165829605,0.00016419314610585344,Stationary
upper_arm.L YROT,-3.7337421859248163,0.003662810576761256,Stationary
upper_arm.L ZROT,-4.370410607139503,0.00033474357137785175,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-2.1588263734722943,0.22152687604301552,Non-Stationary
forearm.L YROT,-2.580983121117709,0.09699171099131326,Non-Stationary
