Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-4.530976787952148,0.00017279206899767545,Stationary
pelvis YPOS,-2.2241349250542033,0.19760276045045544,Non-Stationary
pelvis ZPOS,-3.6983530250925845,0.0041363800454832554,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-1.4976730818025075,0.534662116408071,Non-Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-3.6520045892120976,0.004841199706761798,Stationary
spine YROT,-6.9282649488958175,1.1009165895543573e-09,Stationary
spine ZROT,-7.3408430394764626,1.0662378936815807e-10,Stationary
spine.001 XROT,-7.066441475140095,5.066265732312164e-10,Stationary
spine.001 YROT,-5.542824611812908,1.686566412463823e-06,Stationary
spine.001 ZROT,-5.517798544244967,1.907546984444166e-06,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.086479572657728,0.027570075656276016,Stationary
neck YROT,-6.459995750745352,1.4512257926228167e-08,Stationary
neck ZROT,-5.936047195441151,2.3196499519901283e-07,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-4.2381352620383055,0.0005675194963437825,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-5.5290896531826865,1.8045599353194622e-06,Stationary
shoulder.L YROT,-6.372029461407378,2.3323208848038094e-08,Stationary
shoulder.L ZROT,-5.812567679650647,4.366774577885489e-07,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.748058757299826,6.829481466880444e-05,Stationary
upper_arm.L YROT,-6.484260452270376,1.2724412774686127e-08,Stationary
upper_arm.L ZROT,-4.722374534125801,7.637482628719756e-05,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-4.310145264773617,0.0004265818746316866,Stationary
forearm.L YROT,-4.830658425319319,4.7498388134967056e-05,Stationary
forearm.L ZROT,-4.311016909635091,0.0004250983655869344,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-5.526050433980766,1.8317355511455466e-06,Stationary
shoulder.R YROT,-6.423362644487698,1.768990820262367e-08,Stationary
shoulder.R ZROT,-5.780346911876926,5.143263860174779e-07,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-3.6350848916990803,0.005124638332830538,Stationary
upper_arm.R YROT,-6.422420897704294,1.7780043136431595e-08,Stationary
upper_arm.R ZROT,-4.671662353805871,9.509569481525551e-05,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-3.5122319545456744,0.007678452752034592,Stationary
forearm.R YROT,-3.727129023945588,0.003747344446015995,Stationary
forearm.R ZROT,-4.892691172196335,3.6034954030294856e-05,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-6.597997585645736,6.84795459797838e-09,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-6.609280368922513,6.437864027404119e-09,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-6.833824030285206,1.86434234147608e-09,Stationary
thigh.L XROT,-4.2336020188880825,0.0005777210512187971,Stationary
thigh.L YROT,-6.484606833459268,1.2700531100658378e-08,Stationary
thigh.L ZROT,-6.920368036536644,1.1506284859614704e-09,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-5.4872200547590335,2.2160402590015845e-06,Stationary
shin.L YROT,-6.512286789637917,1.0928297318835724e-08,Stationary
shin.L ZROT,-6.239083642359045,4.7456843205770315e-08,Stationary
foot.L XROT,-4.420185326663777,0.00027334571528840477,Stationary
foot.L YROT,-6.391005073873045,2.1060372947391466e-08,Stationary
foot.L ZROT,-6.373990278245931,2.3078713356995637e-08,Stationary
heel.02.L XROT,-5.006200020913925,2.157458264550015e-05,Stationary
heel.02.L YROT,-5.449548107039971,2.6633380041726132e-06,Stationary
heel.02.L ZROT,-5.043642527801921,1.8177795426642507e-05,Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-8.094136710433203,1.3532905037127774e-12,Stationary
thigh.R XROT,-3.7408052560550056,0.0035744583833908564,Stationary
thigh.R YROT,-7.2200989371715165,2.1223900853178783e-10,Stationary
thigh.R ZROT,-4.959534588028738,2.667103743314698e-05,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-5.975992761393863,1.886980563381414e-07,Stationary
shin.R YROT,-6.597366671468262,6.871631912242658e-09,Stationary
shin.R ZROT,-5.635311102403123,1.0664202918920524e-06,Stationary
foot.R XROT,-3.201148000075827,0.019918324558788312,Stationary
foot.R YROT,-6.122120472973329,8.80407384376457e-08,Stationary
foot.R ZROT,-6.494197982708062,1.2056521051254805e-08,Stationary
heel.02.R XROT,-5.147759494876607,1.1228664177315337e-05,Stationary
heel.02.R YROT,-5.891969876565562,2.9101433649505594e-07,Stationary
heel.02.R ZROT,-4.718780677449862,7.757595139790176e-05,Stationary
