Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-7.005644565474512,7.133913890319811e-10,Stationary
pelvis YPOS,-4.694751288435646,8.60842030066938e-05,Stationary
pelvis ZPOS,-3.82283057947208,0.002682178078726397,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-6.378601636234317,2.251362001719485e-08,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-5.9665877659327196,1.981115572973993e-07,Stationary
spine YROT,-6.059842275823288,1.220045196656154e-07,Stationary
spine ZROT,-5.513910890416785,1.944314083913303e-06,Stationary
spine.001 XROT,-7.726375940675243,1.1560992585985369e-11,Stationary
spine.001 YROT,-7.606547963729743,2.3141197059817256e-11,Stationary
spine.001 ZROT,-7.1210024973340245,3.7227717285829804e-10,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.8396915502591398,0.0025263489339858703,Stationary
neck YROT,-8.106411149376076,1.2593804948200315e-12,Stationary
neck ZROT,-8.715456547002825,3.4983094104095685e-14,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-5.702000919347629,7.638001083223553e-07,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-4.316312146264918,0.0004161902728361597,Stationary
shoulder.L YROT,-4.65827340558693,0.00010072744771773656,Stationary
shoulder.L ZROT,-4.462248045878314,0.00022994472840169822,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-5.812518772970501,4.367861459707443e-07,Stationary
upper_arm.L YROT,-5.17664720614654,9.810362619373037e-06,Stationary
upper_arm.L ZROT,-6.127049419793156,8.578928766521544e-08,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-6.65020649689464,5.1436848048636665e-09,Stationary
forearm.L YROT,-5.596641044870123,1.2925361450576686e-06,Stationary
forearm.L ZROT,-5.6784528417633355,8.595928604898971e-07,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-4.320377982687784,0.00040947039829161735,Stationary
shoulder.R YROT,-4.744993422139536,6.921424679750769e-05,Stationary
shoulder.R ZROT,-4.479177137499344,0.00021439609731744382,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
