Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-2.133787424520372,0.23114727095086934,Non-Stationary
pelvis YPOS,-3.4334613063439967,0.009869712737691877,Stationary
pelvis ZPOS,-2.870713903245699,0.04886110049368693,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-1.800986895010223,0.37997183782360894,Non-Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-3.1191210109887173,0.025170129726355246,Stationary
spine YROT,-2.747744525040505,0.06613445205968153,Non-Stationary
spine ZROT,-2.910325455766074,0.04416039543798983,Stationary
spine.001 XROT,-3.316301020391183,0.014165357802872362,Stationary
spine.001 YROT,-2.0838207416636623,0.251069930499891,Non-Stationary
spine.001 ZROT,-2.2614766027144695,0.18469359697141025,Non-Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.611038121402696,0.005553475319224489,Stationary
neck YROT,-1.9825330438369886,0.2942838718993047,Non-Stationary
neck ZROT,-2.173078409435176,0.21616110508096376,Non-Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-3.880130503403874,0.002186040548063377,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-2.114147139577187,0.23886414776343295,Non-Stationary
shoulder.L YROT,-2.3622349429945575,0.15268015724445716,Non-Stationary
shoulder.L ZROT,-1.9927519055959133,0.289760151069899,Non-Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-3.3336100613336734,0.013441340669088567,Stationary
upper_arm.L YROT,-2.955980317038956,0.039214822591422574,Stationary
upper_arm.L ZROT,-3.415322677065266,0.010447482122979572,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-2.664488821426967,0.08038739716577742,Non-Stationary
forearm.L YROT,-2.809198059628212,0.056971855274776835,Non-Stationary
forearm.L ZROT,-3.6249406644254787,0.005301731950778323,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-2.1154658924001053,0.2383413349560194,Non-Stationary
shoulder.R YROT,-2.377333154637045,0.1482364164905905,Non-Stationary
shoulder.R ZROT,-1.936453403792747,0.3151112978874778,Non-Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-3.3345066026016035,0.013404747355742078,Stationary
upper_arm.R YROT,-2.247070729198751,0.18960694693408603,Non-Stationary
upper_arm.R ZROT,-3.414185191249161,0.010484700457346287,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-3.182648935656527,0.02101125217841501,Stationary
forearm.R YROT,-2.453110650693355,0.1273036755753142,Non-Stationary
forearm.R ZROT,-3.9424147770011975,0.0017439494820997378,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-2.062730006150771,0.25976261069963147,Non-Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-2.0637686617787248,0.25933065707419667,Non-Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-2.049111682909045,0.2654628210723732,Non-Stationary
thigh.L XROT,-2.3175719106509436,0.16636329324159183,Non-Stationary
thigh.L YROT,-2.4734054761416204,0.12207986502493579,Non-Stationary
thigh.L ZROT,-3.802449815166535,0.0028823493983862252,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-3.345182538177329,0.012975724184573857,Stationary
shin.L YROT,-2.28405391492766,0.1771624873043119,Non-Stationary
shin.L ZROT,-2.328756316982534,0.16286112222011606,Non-Stationary
foot.L XROT,-3.091541875867691,0.02718549261903999,Stationary
foot.L YROT,-2.058965229203306,0.26133162829754286,Non-Stationary
foot.L ZROT,-2.0998251795512646,0.24458490349389717,Non-Stationary
heel.02.L XROT,-2.788443473209775,0.05994359155028012,Non-Stationary
heel.02.L YROT,-2.156335481925802,0.22247290610158232,Non-Stationary
heel.02.L ZROT,-2.277454191676595,0.1793425683058938,Non-Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-2.0577985157602683,0.2618189285187723,Non-Stationary
thigh.R XROT,-1.87144592711301,0.34561073797401337,Non-Stationary
thigh.R YROT,-2.970329788271923,0.037759669010037,Stationary
thigh.R ZROT,-2.952646558213535,0.03955953823260837,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-2.735955637687722,0.06802034101442127,Non-Stationary
shin.R YROT,-3.186531974878921,0.020777617222686385,Stationary
shin.R ZROT,-2.651471817308361,0.0828187270917779,Non-Stationary
foot.R XROT,-3.4583633919756926,0.009123056704621699,Stationary
foot.R YROT,-2.095353236385824,0.24638718916848557,Non-Stationary
foot.R ZROT,-2.3647732970713036,0.1519266606155853,Non-Stationary
heel.02.R XROT,-3.4900475489609275,0.008246403318984751,Stationary
heel.02.R YROT,-2.482758180809894,0.11972600383192655,Non-Stationary
heel.02.R ZROT,-2.2706632799973354,0.18160425093148647,Non-Stationary
