Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,0.6122315829690177,0.9879132682967855,Non-Stationary
pelvis YPOS,-2.279616911635775,0.17862621206765006,Non-Stationary
pelvis ZPOS,-2.783910466811145,0.060609051792729435,Non-Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-2.89990220917677,0.04535937039613361,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-2.7465239203251093,0.06632775067093508,Non-Stationary
spine YROT,-2.0692042073225907,0.2570766379823701,Non-Stationary
spine ZROT,-2.29753693919501,0.17276358826210608,Non-Stationary
spine.001 XROT,-3.0561344363921905,0.029974391232351804,Stationary
spine.001 YROT,-2.2450016609408667,0.19031953569176346,Non-Stationary
spine.001 ZROT,-2.319996838860405,0.16559967453770402,Non-Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-2.4781026678629106,0.12089349018321155,Non-Stationary
neck YROT,-2.393840026262191,0.1434825692839537,Non-Stationary
neck ZROT,-1.981594068015949,0.2947013104021776,Non-Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-4.077058888240792,0.0010566338872220994,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-2.879305140235838,0.04780799646308645,Stationary
shoulder.L YROT,-4.792690235519684,5.6164362359947766e-05,Stationary
shoulder.L ZROT,-2.7387671126056623,0.06756673066918659,Non-Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-3.7483096891314704,0.0034827294865018015,Stationary
upper_arm.L YROT,-2.4827786516036436,0.11972088861819574,Non-Stationary
upper_arm.L ZROT,-3.7002681778847024,0.00410938355785129,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-5.558523888929129,1.560891754322102e-06,Stationary
forearm.L YROT,-5.030639104540799,1.929437537680063e-05,Stationary
forearm.L ZROT,-4.689424119242526,8.808783524379601e-05,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-2.8909946214556372,0.04640526695059527,Stationary
shoulder.R YROT,-4.50243498757684,0.00019465733055956593,Stationary
shoulder.R ZROT,-2.7572669574001507,0.06464189384386951,Non-Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-4.117415756600009,0.0009062805164681495,Stationary
upper_arm.R YROT,-3.010464472875123,0.0339286393781468,Stationary
upper_arm.R ZROT,-4.136563903207507,0.00084217963182073,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-5.164915396274007,1.0364106680300923e-05,Stationary
forearm.R YROT,-3.6496903795875424,0.004879105433633318,Stationary
forearm.R ZROT,-3.150883274077011,0.02300967210905923,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-3.2261505432275097,0.01852001367083142,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-3.178040449436722,0.021291493636348684,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-3.896787726889343,0.0020586152655730503,Stationary
thigh.L XROT,-3.107543541608676,0.025999946015086994,Stationary
thigh.L YROT,-2.3090866030248147,0.1690541068845814,Non-Stationary
thigh.L ZROT,-3.024054983682733,0.03270821854504204,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-1.988178842911411,0.29178019656149423,Non-Stationary
shin.L YROT,-2.639550323300234,0.08509537401762046,Non-Stationary
shin.L ZROT,-3.0992808166248222,0.02660645707302221,Stationary
foot.L XROT,-4.28944353899209,0.00046328650557101,Stationary
foot.L YROT,-2.439713135388868,0.1308398652911516,Non-Stationary
foot.L ZROT,-3.0043314169711617,0.03449187558253907,Stationary
heel.02.L XROT,-2.4766363538940737,0.12126292789762971,Non-Stationary
heel.02.L YROT,-2.652799783315841,0.08256809210412241,Non-Stationary
heel.02.L ZROT,-2.6673745518723733,0.0798560355370681,Non-Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-3.8652068724408912,0.0023063617353523756,Stationary
thigh.R XROT,-2.884492699099579,0.04718123146653432,Stationary
thigh.R YROT,-2.1138366462466895,0.23898733841905895,Non-Stationary
thigh.R ZROT,-2.3247835779737347,0.16409930453492866,Non-Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-3.374637643860232,0.011854462925623425,Stationary
shin.R YROT,-2.9951748363164263,0.035347473503050654,Stationary
shin.R ZROT,-2.890371054064125,0.046479225244772604,Stationary
foot.R XROT,-4.341621328629216,0.0003759958666165519,Stationary
foot.R YROT,-2.1795069437582444,0.2137671430102484,Non-Stationary
foot.R ZROT,-2.9057447731194883,0.04468402530695596,Stationary
heel.02.R XROT,-2.668039234711301,0.0797340353254124,Non-Stationary
heel.02.R YROT,-2.6296050876014245,0.08703155381828154,Non-Stationary
heel.02.R ZROT,-3.0864136563231437,0.027575113896526015,Stationary
