Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-3.874717841118074,0.002228992436909137,Stationary
pelvis YPOS,-6.552574061910295,8.776144243544639e-09,Stationary
pelvis ZPOS,-5.200678790729741,8.764072209890063e-06,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-5.572643638745765,1.4556899579099798e-06,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-4.685771549683359,8.94873261347092e-05,Stationary
spine YROT,-7.2046403032487705,2.317266415123439e-10,Stationary
spine ZROT,-7.930418293625317,3.5253757393136214e-12,Stationary
spine.001 XROT,-8.180981224564958,8.13291960027754e-13,Stationary
spine.001 YROT,-7.216425700308371,2.167170841552466e-10,Stationary
spine.001 ZROT,-7.3320426692331555,1.1212478432861991e-10,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-4.729052655672187,7.419002498887187e-05,Stationary
neck YROT,-4.538494535541059,0.00016743431988272802,Stationary
neck ZROT,-5.881491922368883,3.0708560248389956e-07,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-6.165291497958857,7.013968966898552e-08,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-6.106287677157029,9.567246529654883e-08,Stationary
shoulder.L YROT,-10.181044166795886,6.693752794677024e-18,Stationary
shoulder.L ZROT,-6.033807631100691,1.3975003736728708e-07,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-7.895300455475544,4.327000753573869e-12,Stationary
upper_arm.L YROT,-7.84065690981613,5.949462668955484e-12,Stationary
upper_arm.L ZROT,-8.182925242623114,8.040668528094148e-13,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-5.936955790524413,2.3088054070423694e-07,Stationary
forearm.L YROT,-7.6516652835865555,1.7825902862437927e-11,Stationary
forearm.L ZROT,-11.869334014746483,6.559996246358763e-22,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-6.145073901181767,7.802720069364294e-08,Stationary
shoulder.R YROT,-10.272664445738469,3.964090078462947e-18,Stationary
shoulder.R ZROT,-6.043867677219482,1.3261148733248223e-07,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-5.559675904581327,1.552037951613524e-06,Stationary
upper_arm.R YROT,-4.642335561168867,0.00010784727750308594,Stationary
upper_arm.R ZROT,-6.046483441249365,1.3081473011319028e-07,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-4.634452041096729,0.00011154437801198002,Stationary
forearm.R YROT,-5.2583832846486365,6.673988271539128e-06,Stationary
forearm.R ZROT,-6.873613990512392,1.4938417488973242e-09,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-9.282793236679469,1.2381319015415623e-15,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-9.824265125328123,5.2384020370658774e-17,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-10.134728747706202,8.729902328497725e-18,Stationary
