Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-9.032795164743009,5.388172792344384e-15,Stationary
pelvis YPOS,-5.063877492629581,1.656331184084014e-05,Stationary
pelvis ZPOS,-8.618110555153576,6.210485828209913e-14,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-6.775148197328116,2.5820554666254277e-09,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-1.913258378715396,0.32584988658404446,Non-Stationary
spine YROT,-11.679838386135451,1.7521047145980443e-21,Stationary
spine ZROT,-11.063261034452982,4.750738156033041e-20,Stationary
spine.001 XROT,-6.864137600745407,1.574862748110394e-09,Stationary
spine.001 YROT,-5.618075851649175,1.1619826427397056e-06,Stationary
spine.001 ZROT,-5.475116614409944,2.3511204356192733e-06,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,1.4062093565383433,0.9971421682566199,Non-Stationary
neck YROT,-7.7089396991560974,1.279162843170902e-11,Stationary
neck ZROT,-7.561112861350749,3.008379409224423e-11,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-1.0765137850263862,0.724346494525536,Non-Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-7.25108087145563,1.7794107992159247e-10,Stationary
shoulder.L YROT,-7.483791056715926,4.696751893748069e-11,Stationary
shoulder.L ZROT,-7.2823956365426765,1.4886338256347716e-10,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-7.249409311139433,1.7964254995212113e-10,Stationary
upper_arm.L YROT,-6.795920738919121,2.301204020974472e-09,Stationary
upper_arm.L ZROT,-7.302329216466198,1.3286242656498464e-10,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-2.9586400065807057,0.03894161480391075,Stationary
forearm.L YROT,-3.203426083706945,0.01978721858604635,Stationary
forearm.L ZROT,-0.9826907908765853,0.7595249716927592,Non-Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-7.238711093219486,1.9092067037930701e-10,Stationary
shoulder.R YROT,-7.510788522241731,4.020815956415555e-11,Stationary
shoulder.R ZROT,-7.319460976216661,1.2048175409123776e-10,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-8.613026479546201,6.399440016323336e-14,Stationary
upper_arm.R YROT,-7.765962002229787,9.186872158119535e-12,Stationary
upper_arm.R ZROT,-8.34824766803639,3.043838680222007e-13,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-2.958478146512668,0.038958195626458185,Stationary
forearm.R YROT,-2.7426126190895057,0.06695020361075238,Non-Stationary
forearm.R ZROT,-2.4158507929620705,0.13731252558820872,Non-Stationary
pelvis.L XPOS,nan,-1,Constant
