Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-5.6291293003433225,1.0997793544515546e-06,Stationary
pelvis YPOS,-4.09836900083812,0.0009745542067020834,Stationary
pelvis ZPOS,-5.092075617801039,1.4542575796714157e-05,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-6.665376276193517,4.732312533617881e-09,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-4.675147893137163,9.367973627980616e-05,Stationary
spine YROT,-5.810101278918601,4.4219178944459737e-07,Stationary
spine ZROT,-5.935764196597534,2.323037867065517e-07,Stationary
spine.001 XROT,-6.582831606684732,7.440033183101628e-09,Stationary
spine.001 YROT,-5.431650331405065,2.9055143900248412e-06,Stationary
spine.001 ZROT,-5.468780757043618,2.424993274380208e-06,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.8342873416369154,0.002575360747009237,Stationary
neck YROT,-5.396849654159659,3.439194199909791e-06,Stationary
neck ZROT,-4.686085515893466,8.936619850173565e-05,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-5.612205624259981,1.1963991292141666e-06,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-6.362748151942046,2.4515535597161364e-08,Stationary
shoulder.L YROT,-5.021536340001822,2.0115093882413928e-05,Stationary
shoulder.L ZROT,-6.183860320857711,6.358850749726357e-08,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.220239830052415,0.0006088050034975085,Stationary
upper_arm.L YROT,-5.893046576141652,2.8941030184595544e-07,Stationary
upper_arm.L ZROT,-4.085423596373407,0.001023673729737037,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-5.006244515599237,2.1570204115958993e-05,Stationary
forearm.L YROT,-6.141693156105204,7.94285463590793e-08,Stationary
forearm.L ZROT,-5.120683905032613,1.273676788144973e-05,Stationary
shoulder.R XPOS,nan,-1,Constant
