Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-6.94439230342838,1.0058989634330617e-09,Stationary
pelvis YPOS,-5.098135479142767,1.4140523883801583e-05,Stationary
pelvis ZPOS,-2.852938005346464,0.051100760346071236,Non-Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-7.868543317480117,5.057421081223236e-12,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-5.406369133279571,3.2844168598770367e-06,Stationary
spine YROT,-5.981685456471622,1.8321469389792125e-07,Stationary
spine ZROT,-6.509847359097082,1.1074149258388163e-08,Stationary
spine.001 XROT,-5.806767436414234,4.497538976565923e-07,Stationary
spine.001 YROT,-5.469613266754198,2.415159270506796e-06,Stationary
spine.001 ZROT,-5.4301973825381324,2.9260883323616147e-06,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,0.46031652986363153,0.9836157126478813,Non-Stationary
neck YROT,-5.775959282343745,5.258934834704986e-07,Stationary
neck ZROT,-6.853287445665098,1.6729740886167645e-09,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-6.009662916407226,1.584562524215119e-07,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-7.264890150981293,1.6448243523648086e-10,Stationary
shoulder.L YROT,-6.966266950101989,8.898646041075332e-10,Stationary
shoulder.L ZROT,-6.904538599700274,1.2570575220221778e-09,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-3.7014960212332806,0.004092160402738539,Stationary
upper_arm.L YROT,-6.463312797554027,1.4253980886241032e-08,Stationary
upper_arm.L ZROT,-3.9657661338383132,0.0016007686373132976,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-2.1331961792398144,0.23137739688809833,Non-Stationary
forearm.L YROT,-3.26562404357567,0.01648677268539999,Stationary
forearm.L ZROT,-2.0684430417774555,0.25739162051833897,Non-Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-7.359494966760401,9.5834250340186e-11,Stationary
shoulder.R YROT,-7.02086675388469,6.548771952608697e-10,Stationary
