Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-2.047241426455715,0.2662509443224809,Non-Stationary
pelvis YPOS,-2.1040157701322237,0.2429029092452732,Non-Stationary
pelvis ZPOS,-3.0377034281737316,0.031520264036026556,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-2.4208883688657084,0.13592740089080974,Non-Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-2.5918904152668736,0.09468496416261019,Non-Stationary
spine YROT,-2.477912871561362,0.12094126280905992,Non-Stationary
spine ZROT,-2.1307049163687295,0.23234854415736605,Non-Stationary
spine.001 XROT,-3.3593710246725323,0.012424388611557043,Stationary
spine.001 YROT,-2.2532530306832266,0.18748808045011756,Non-Stationary
spine.001 ZROT,-2.1937435327808785,0.20852402505297746,Non-Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.852252620591912,0.002415737157494432,Stationary
neck YROT,-0.7152643738489523,0.8427560039657168,Non-Stationary
neck ZROT,-1.3248416876000693,0.6177319817367679,Non-Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-3.8295336795078403,0.002619196186043882,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-3.7704199150233713,0.0032248786482340953,Stationary
shoulder.L YROT,-3.462477120036418,0.009004704164808149,Stationary
shoulder.L ZROT,-3.548650737690116,0.006822095304231517,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.228541173383181,0.0005893138256899635,Stationary
upper_arm.L YROT,-2.9545960405124694,0.03935765210301298,Stationary
upper_arm.L ZROT,-4.379083479176658,0.0003231812118420768,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-4.245766333118318,0.0005507288668649803,Stationary
forearm.L YROT,-3.9386420273974294,0.0017681687294151649,Stationary
forearm.L ZROT,-5.099367105836203,1.4060133291615103e-05,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-3.784940982829932,0.00306520141530341,Stationary
shoulder.R YROT,-3.537950208441309,0.007064295803601085,Stationary
shoulder.R ZROT,-3.4052146854910563,0.010782382681727558,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-3.878099554046232,0.002202066491596984,Stationary
upper_arm.R YROT,-3.456897804321505,0.009165557441493844,Stationary
upper_arm.R ZROT,-3.9009794142731913,0.002027650968400113,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-3.885869333133212,0.0021413375604064817,Stationary
