Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-2.4133995335855896,0.13799014972558304,Non-Stationary
pelvis YPOS,-2.3463076761575574,0.15746728546191274,Non-Stationary
pelvis ZPOS,-3.660763012527501,0.004700157161909918,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-2.2754739985540584,0.18000013050475855,Non-Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-2.520830406634992,0.11048797217677742,Non-Stationary
spine YROT,-4.2211346513637995,0.000606675189874477,Stationary
spine ZROT,-4.342664664962745,0.0003744203903857908,Stationary
spine.001 XROT,-4.050430117547582,0.0011682877170390237,Stationary
spine.001 YROT,-1.7734324655744784,0.3937292050193427,Non-Stationary
spine.001 ZROT,-1.607064454686814,0.480043897907366,Non-Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-2.6903109208675375,0.07572996226212876,Non-Stationary
neck YROT,-2.1277567428625916,0.2335009165181247,Non-Stationary
neck ZROT,-2.081349350027448,0.25207994701537056,Non-Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-3.2219351700635768,0.0187495808735043,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-2.5126997713263224,0.11241483183420808,Non-Stationary
shoulder.L YROT,-3.1298819493142775,0.024419381293890242,Stationary
shoulder.L ZROT,-2.51108660062289,0.11280008554080473,Non-Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-3.523658061593099,0.007399890951943463,Stationary
upper_arm.L YROT,-2.929342591776972,0.04204070963460681,Stationary
upper_arm.L ZROT,-3.5549817979440386,0.0066823523481555945,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-1.85913950900058,0.35152041308384974,Non-Stationary
forearm.L YROT,-1.3311534610117066,0.6148018251131895,Non-Stationary
forearm.L ZROT,-2.375816729885245,0.14867860205292482,Non-Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-2.312373904658851,0.1680081927350759,Non-Stationary
shoulder.R YROT,-3.180511550983641,0.021140825474258815,Stationary
shoulder.R ZROT,-2.6931288035783107,0.07523485215394292,Non-Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-3.3342025169621112,0.013417149054578846,Stationary
upper_arm.R YROT,-2.2013868165618216,0.205742507534997,Non-Stationary
upper_arm.R ZROT,-3.3251029247332786,0.013792989931616905,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-2.3235130716796784,0.1644966312717634,Non-Stationary
forearm.R YROT,-1.972365674293587,0.2988196555868643,Non-Stationary
forearm.R ZROT,-2.9912741795634123,0.03571735649064889,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-1.9799855155282453,0.29541710922713715,Non-Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-1.9834460902829738,0.293878245140141,Non-Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-2.244128874508965,0.19062064340857482,Non-Stationary
thigh.L XROT,-2.413786862213564,0.13788291871907055,Non-Stationary
thigh.L YROT,-2.8202678532999346,0.05543646395799602,Non-Stationary
thigh.L ZROT,-3.1140869316323454,0.02552810497347292,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-3.5264511319161014,0.007333198123226893,Stationary
shin.L YROT,-3.124510357275454,0.02479168844097997,Stationary
shin.L ZROT,-2.410815595728053,0.1387070270453914,Non-Stationary
foot.L XROT,-3.363036085458162,0.012285392575846881,Stationary
foot.L YROT,-2.4493851799603434,0.12827996012102005,Non-Stationary
foot.L ZROT,-3.0298145640020446,0.032202354314181815,Stationary
heel.02.L XROT,-3.4887728902901567,0.008280155195796021,Stationary
heel.02.L YROT,-3.6750643656847464,0.004477885557948572,Stationary
heel.02.L ZROT,-4.179661885804289,0.0007131244562740006,Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-1.9671719045466167,0.3011499136489286,Non-Stationary
thigh.R XROT,-3.338678820985634,0.013235610724701937,Stationary
thigh.R YROT,-3.4983896898473987,0.008028546674946421,Stationary
thigh.R ZROT,-3.185853279361873,0.020818289493614046,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
