Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-2.649921613922423,0.0831120560359318,Non-Stationary
pelvis YPOS,-2.753589639571375,0.06521504574815969,Non-Stationary
pelvis ZPOS,-2.741733428086591,0.06709076094527208,Non-Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-3.204076188509251,0.01974994251018717,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-4.674483667425369,9.394800547819128e-05,Stationary
spine YROT,-2.3819872570122165,0.1468850436888634,Non-Stationary
spine ZROT,-2.5450600921764526,0.10489199505566144,Non-Stationary
spine.001 XROT,-3.0573751800808746,0.029872688234163437,Stationary
spine.001 YROT,-2.1911124829262336,0.20948691163888966,Non-Stationary
spine.001 ZROT,-2.4006037923194525,0.14156606528435717,Non-Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.456202132593679,0.009185793317436864,Stationary
neck YROT,-2.2684981809554357,0.18232926006609423,Non-Stationary
neck ZROT,-2.331288034316542,0.1620753949369022,Non-Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-4.149466933291931,0.0008014096767177034,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-2.964442792054816,0.038351077994943035,Stationary
shoulder.L YROT,-4.47963175025683,0.00021399266093598322,Stationary
shoulder.L ZROT,-2.96354616356083,0.038441832071997334,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.992269651093814,2.298839029455544e-05,Stationary
upper_arm.L YROT,-4.073433895186636,0.0010712237061626117,Stationary
upper_arm.L ZROT,-5.1766725084649865,9.809199874765898e-06,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-5.722686523183515,6.883139814932943e-07,Stationary
forearm.L YROT,-4.020155870141725,0.001308569870408832,Stationary
forearm.L ZROT,-4.6726179323400885,9.470547925070151e-05,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-2.9646204281119806,0.038333119554712004,Stationary
shoulder.R YROT,-4.409672707534227,0.000285348656749885,Stationary
shoulder.R ZROT,-2.9632336915566686,0.03847350187186237,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-3.03238970290534,0.03197833699182933,Stationary
upper_arm.R YROT,-4.541028264010676,0.000165664505191275,Stationary
upper_arm.R ZROT,-3.320700388411753,0.013978145594521003,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-5.251728137104798,6.887830177870144e-06,Stationary
forearm.R YROT,-4.41798496494377,0.00027581768297193707,Stationary
forearm.R ZROT,-5.050037567536843,1.7651805434928572e-05,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-2.6572806706815664,0.08172675084329778,Non-Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-2.657696631189993,0.08164898995523523,Non-Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-2.6569873506539596,0.08178161971522441,Non-Stationary
thigh.L XROT,-2.8910235970766656,0.04640183266173235,Stationary
thigh.L YROT,-3.238481674385876,0.01786250447758037,Stationary
thigh.L ZROT,-3.940122302425869,0.0017586290925711912,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-4.51349816019994,0.0001858867049434546,Stationary
shin.L YROT,-3.907303294499315,0.0019817514935882552,Stationary
shin.L ZROT,-3.8942501606795075,0.0020775726243566477,Stationary
foot.L XROT,-3.3292471993736568,0.013620679887930035,Stationary
foot.L YROT,-3.0593555024571573,0.02971097201614173,Stationary
foot.L ZROT,-2.680012857060678,0.07756123597470437,Non-Stationary
heel.02.L XROT,-2.9776001040082263,0.037039883054274365,Stationary
heel.02.L YROT,-2.8845900500232506,0.04716953465705502,Stationary
heel.02.L ZROT,-2.7867496951038304,0.0601915489887824,Non-Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-2.657104053030289,0.08175978575433679,Non-Stationary
thigh.R XROT,-2.7897295290101,0.05975587413143066,Non-Stationary
thigh.R YROT,-3.360124309037379,0.012395707213626062,Stationary
thigh.R ZROT,-4.461319755922005,0.0002308275836449208,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-3.5514903566107985,0.006759094228097607,Stationary
shin.R YROT,-3.4851110493671804,0.008377809246062663,Stationary
shin.R ZROT,-3.6468904373645596,0.004925328526557404,Stationary
foot.R XROT,-4.36104700592597,0.00034766601098798776,Stationary
foot.R YROT,-2.6386551715558904,0.0852682642585022,Non-Stationary
foot.R ZROT,-2.8370130205548976,0.05317812753657284,Non-Stationary
heel.02.R XROT,-3.4247075488390886,0.010144882145717035,Stationary
heel.02.R YROT,-2.6741327531428856,0.07862238571298978,Non-Stationary
heel.02.R ZROT,-2.6086101361377256,0.09123075306284373,Non-Stationary
