Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-3.096718751090295,0.026796970478508892,Stationary
pelvis YPOS,-3.7062927811172774,0.004025506185689107,Stationary
pelvis ZPOS,-5.043132135567202,1.8220420854953868e-05,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-2.128308713970637,0.23328490748182978,Non-Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-2.793025964688899,0.05927688552554826,Non-Stationary
spine YROT,-6.937172320098945,1.0473898955254126e-09,Stationary
spine ZROT,-6.769642050323989,2.662012913870976e-09,Stationary
spine.001 XROT,-5.34875773693482,4.336020530856997e-06,Stationary
spine.001 YROT,-3.5933252572306054,0.0058899241632093665,Stationary
spine.001 ZROT,-3.357167456464324,0.012508628036898064,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,0.43913115530767255,0.9829007789957296,Non-Stationary
neck YROT,-5.868728954155495,3.278384510084195e-07,Stationary
neck ZROT,-3.403483135192625,0.010840703322185945,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-6.745599501918913,3.0407804754959883e-09,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-5.771942939795664,5.367044491995928e-07,Stationary
shoulder.L YROT,-6.9162366816945235,1.1775138772624527e-09,Stationary
shoulder.L ZROT,-7.738600146942139,1.0769153079601128e-11,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-6.283465235793818,3.747200986667714e-08,Stationary
upper_arm.L YROT,-6.842452888775011,1.7769691637208717e-09,Stationary
upper_arm.L ZROT,-6.550856949101582,8.858688517064837e-09,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-4.656948375698203,0.00010130181260553637,Stationary
forearm.L YROT,-4.610492915406832,0.0001235379975509341,Stationary
forearm.L ZROT,-6.021474241609607,1.490174341212782e-07,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-5.722538952885954,6.88825767523969e-07,Stationary
shoulder.R YROT,-7.185079255211907,2.5894569970658993e-10,Stationary
shoulder.R ZROT,-7.413551584108206,7.03108770601072e-11,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-4.223036962401721,0.0006021706729387874,Stationary
upper_arm.R YROT,-7.26519844417725,1.6419378606889766e-10,Stationary
upper_arm.R ZROT,-4.3593621170618215,0.00035004084143180973,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-4.697728466797221,8.498351289999092e-05,Stationary
forearm.R YROT,-8.094472571053686,1.350630305011021e-12,Stationary
forearm.R ZROT,-3.981387480118465,0.0015111697375644877,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-7.914852349011005,3.8606135373027466e-12,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-7.913437642436494,3.892611277718448e-12,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,nan,-1,Constant
thigh.L XROT,-4.041822121868616,0.0012066754303137362,Stationary
thigh.L YROT,-6.122752370814192,8.774888947103797e-08,Stationary
thigh.L ZROT,-5.093297938982386,1.4460599560638349e-05,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-4.088537171401688,0.0010116525512101878,Stationary
shin.L YROT,-5.2437589960817785,7.152640103971726e-06,Stationary
shin.L ZROT,-3.839617803525341,0.0025270119249261305,Stationary
foot.L XROT,-2.9014061540883076,0.04518472506193545,Stationary
foot.L YROT,-2.5719771435070213,0.09892843111552657,Non-Stationary
foot.L ZROT,-2.928253529215494,0.04215976666233545,Stationary
heel.02.L XROT,-4.318294166086135,0.0004129015458988222,Stationary
heel.02.L YROT,-2.9003024604614387,0.045312836739517366,Stationary
heel.02.L ZROT,-2.445450121330529,0.1293170444291602,Non-Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,nan,-1,Constant
thigh.R XROT,-0.9607794194038595,0.7672990837614162,Non-Stationary
thigh.R YROT,-5.717828886275318,7.05357368524791e-07,Stationary
thigh.R ZROT,-2.6385987202216326,0.08527917644486177,Non-Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-0.6092922028989278,0.8688685154560891,Non-Stationary
shin.R YROT,-4.699549942746348,8.431675098198456e-05,Stationary
shin.R ZROT,-1.5808161033082546,0.49322263969194907,Non-Stationary
foot.R XROT,-3.0595142191713576,0.029698043341358712,Stationary
foot.R YROT,-1.6307293381118355,0.46710897154318753,Non-Stationary
foot.R ZROT,-1.6896190083945393,0.4364688566389061,Non-Stationary
heel.02.R XROT,-3.157443141336118,0.02258401414528511,Stationary
heel.02.R YROT,-2.334269634436886,0.16115336995467006,Non-Stationary
heel.02.R ZROT,-3.601613255194944,0.005730260568170806,Stationary
