Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-7.197284621759574,2.416122031675992e-10,Stationary
pelvis YPOS,-5.586655485308872,1.3581370319543884e-06,Stationary
pelvis ZPOS,-4.1564251625738295,0.000780199526209535,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-6.336429807554657,2.8232469564504305e-08,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-6.974874669319571,8.479274011027699e-10,Stationary
spine YROT,-7.553835309917315,3.137373015382977e-11,Stationary
spine ZROT,-8.04093927104123,1.8478601173358225e-12,Stationary
spine.001 XROT,-7.928740711033205,3.5600646957402238e-12,Stationary
spine.001 YROT,-7.300695234216568,1.3410721086369114e-10,Stationary
spine.001 ZROT,-7.709775007339025,1.2729807493255103e-11,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-5.873344692789099,3.201793971668233e-07,Stationary
neck YROT,-6.042266383985806,1.3372333057186656e-07,Stationary
neck ZROT,-6.205258184455438,5.6782465653126014e-08,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-6.196820459521194,5.937623051853515e-08,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-5.990904351686848,1.7466432668844556e-07,Stationary
shoulder.L YROT,-6.210027561765077,5.536595099658883e-08,Stationary
shoulder.L ZROT,-6.88777285966321,1.380405946058763e-09,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-1.8478640562707276,0.35697053233857534,Non-Stationary
upper_arm.L YROT,-5.132265239430388,1.2069137481801328e-05,Stationary
upper_arm.L ZROT,-1.9185216346630842,0.32339873900467686,Non-Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-5.719635902019051,6.989697054062907e-07,Stationary
forearm.L YROT,-6.194275563395711,6.018113752982196e-08,Stationary
forearm.L ZROT,-5.2260433579768915,7.777146159026544e-06,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-6.012647724955112,1.5601706528981016e-07,Stationary
shoulder.R YROT,-5.672294616977836,8.865197131271668e-07,Stationary
shoulder.R ZROT,-6.741391771394047,3.112337482012161e-09,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-4.260167235340924,0.0005203099940344106,Stationary
upper_arm.R YROT,-5.977720204315332,1.8701735501100034e-07,Stationary
upper_arm.R ZROT,-4.087787539233078,0.0010145346704197806,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-5.368926502904283,3.935211884497801e-06,Stationary
