Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-3.452709647556042,0.009287989678061218,Stationary
pelvis YPOS,-4.797833130889615,5.4907408759886e-05,Stationary
pelvis ZPOS,-5.1531436593097455,1.0950084535158321e-05,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-6.612077439090204,6.3400069164610205e-09,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-6.324249961806161,3.013523790111198e-08,Stationary
spine YROT,-7.040437455925431,5.865791655782233e-10,Stationary
spine ZROT,-6.898645248710777,1.2991206791414005e-09,Stationary
spine.001 XROT,-8.001664990835565,2.3251018406380382e-12,Stationary
spine.001 YROT,-6.992330320218093,7.687948804147586e-10,Stationary
spine.001 ZROT,-6.249217693125845,4.4968559491596005e-08,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-4.046939134214684,0.0011837163704036004,Stationary
neck YROT,-6.253424853627529,4.397363720005145e-08,Stationary
neck ZROT,-7.482164053689441,4.740915195472116e-11,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-4.800415325771383,5.428652875681866e-05,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-5.602881807494911,1.2531169092699271e-06,Stationary
shoulder.L YROT,-6.423141428876612,1.7711040307900472e-08,Stationary
shoulder.L ZROT,-5.800065513340709,4.653404073530054e-07,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.989137308998977,2.3318381644713956e-05,Stationary
upper_arm.L YROT,-5.479142621565022,2.3053221885042076e-06,Stationary
upper_arm.L ZROT,-4.820351320911304,4.971472227792441e-05,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-3.497778318067166,0.008044335218192722,Stationary
forearm.L YROT,-2.289453219980765,0.17539208367528658,Non-Stationary
forearm.L ZROT,-4.653691931382669,0.00010272672496241896,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-5.602180887243142,1.257485090476704e-06,Stationary
