Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-1.7265756277787956,0.4174745366729632,Non-Stationary
pelvis YPOS,-6.5854503843010175,7.3343069927347105e-09,Stationary
pelvis ZPOS,-5.207157274097739,8.50103996616628e-06,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-5.223723254749811,7.862747301306974e-06,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-6.975792835673836,8.435711588910264e-10,Stationary
spine YROT,-6.773227019986085,2.6096806081634966e-09,Stationary
spine ZROT,-6.5974716818465735,6.867685427318864e-09,Stationary
spine.001 XROT,-7.343023554050492,1.0530269640989972e-10,Stationary
spine.001 YROT,-4.07437556659554,0.0010674156800862125,Stationary
spine.001 ZROT,-3.808376730117935,0.002822763522537483,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-4.345839191973852,0.00036966505080485667,Stationary
neck YROT,-4.936461510039454,2.9601599477585255e-05,Stationary
neck ZROT,-6.113996796667052,9.187870126778972e-08,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-4.917910041875914,3.218040930035343e-05,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-6.141194269153824,7.963742067432613e-08,Stationary
shoulder.L YROT,-7.220006334385317,2.12350766280118e-10,Stationary
shoulder.L ZROT,-6.396103970888391,2.0490112658180033e-08,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.081700198211809,0.001038224778391496,Stationary
upper_arm.L YROT,-5.825803390434226,4.0821482020435113e-07,Stationary
upper_arm.L ZROT,-4.393096418210963,0.0003052953808411977,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-4.662017525819306,9.912124949538823e-05,Stationary
forearm.L YROT,-2.4356996740519365,0.13191285533033598,Non-Stationary
forearm.L ZROT,-3.403552441502217,0.010838363614215491,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-6.111148793842117,9.326272240245147e-08,Stationary
shoulder.R YROT,-7.234293800272343,1.9577964360462976e-10,Stationary
shoulder.R ZROT,-6.191774555016567,6.098260541358295e-08,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-4.998925924959432,2.2302038299539817e-05,Stationary
upper_arm.R YROT,-5.351860559846805,4.271875755252932e-06,Stationary
upper_arm.R ZROT,-4.877871710167107,3.8503271314402945e-05,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-5.489168581622496,2.1950118544532035e-06,Stationary
forearm.R YROT,-5.530751290731835,1.7898686295342015e-06,Stationary
forearm.R ZROT,-7.940322981668125,3.327319555585865e-12,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-6.6446125305160155,5.304124930457343e-09,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-6.370780451888142,2.3480276063503037e-08,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-8.123811297693596,1.1372787978757886e-12,Stationary
thigh.L XROT,-5.804247113471599,4.5555451531519456e-07,Stationary
thigh.L YROT,-3.825241452272312,0.00265936663692052,Stationary
thigh.L ZROT,-8.362903263028514,2.792399009585333e-13,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-5.798057759982138,4.701117586417891e-07,Stationary
shin.L YROT,-8.218564096993083,6.522858362351831e-13,Stationary
shin.L ZROT,-6.245150321499552,4.5951450617181256e-08,Stationary
foot.L XROT,-5.233772764758019,7.498432433225868e-06,Stationary
foot.L YROT,-6.871922111330067,1.50799840881314e-09,Stationary
foot.L ZROT,-6.636581473295082,5.543131869361966e-09,Stationary
heel.02.L XROT,-7.747465656356772,1.0228850047263722e-11,Stationary
heel.02.L YROT,-7.702142695024145,1.330589853228113e-11,Stationary
heel.02.L ZROT,-6.102945026215248,9.736483161944341e-08,Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-8.059723593865167,1.6554604834121968e-12,Stationary
thigh.R XROT,-6.196223843211127,5.9563975514426725e-08,Stationary
thigh.R YROT,-5.0639303045787765,1.655928509367965e-05,Stationary
thigh.R ZROT,-7.232122157584419,1.982131782611137e-10,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-6.491899611767845,1.2207852618364922e-08,Stationary
shin.R YROT,-6.518038158410045,1.059187926191146e-08,Stationary
shin.R ZROT,-6.106997473293551,9.531683357801324e-08,Stationary
foot.R XROT,-4.539463784000476,0.00016675518158361418,Stationary
foot.R YROT,-4.031886461131022,0.0012524464421412164,Stationary
foot.R ZROT,-3.6639890739539607,0.0046491568979020355,Stationary
heel.02.R XROT,-5.8497441667401455,3.6127037077556176e-07,Stationary
heel.02.R YROT,-5.522104601023509,1.867613090313397e-06,Stationary
heel.02.R ZROT,-5.092525158865192,1.4512374787944756e-05,Stationary
