Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-4.566849261426619,0.00014861597253919916,Stationary
pelvis YPOS,-5.948720658220054,2.172792205651619e-07,Stationary
pelvis ZPOS,-6.746290233105194,3.029190136135158e-09,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-5.904460261006549,2.7292996584606863e-07,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-4.806040035331886,5.2957325175932094e-05,Stationary
spine YROT,-8.357622072945,2.8805229896105785e-13,Stationary
spine ZROT,-6.773809462140025,2.601274811481258e-09,Stationary
spine.001 XROT,-7.298311654594648,1.35943817226644e-10,Stationary
spine.001 YROT,-6.050198042986791,1.2830415517652364e-07,Stationary
spine.001 ZROT,-5.9187481690816535,2.5359026967456577e-07,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-4.89637364294772,3.5445633303306854e-05,Stationary
neck YROT,-6.025578164415158,1.458687179268748e-07,Stationary
neck ZROT,-5.447452636740122,2.6906435924407895e-06,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-5.4612854068696155,2.5153044716449462e-06,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-6.389944022709357,2.1180990303417544e-08,Stationary
shoulder.L YROT,-6.232427034267777,4.916442686621444e-08,Stationary
shoulder.L ZROT,-6.764607582374878,2.737258940803402e-09,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.008981944359404,0.001364202578046795,Stationary
upper_arm.L YROT,-4.1655645856183074,0.0007531404281594222,Stationary
upper_arm.L ZROT,-3.4244747447027946,0.010152292841904501,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-3.7453129703828036,0.003519097167892848,Stationary
forearm.L YROT,-4.456336532207532,0.00023562220670769797,Stationary
forearm.L ZROT,-3.7684352524233695,0.0032472865197862404,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-6.378952968338521,2.247112918854408e-08,Stationary
shoulder.R YROT,-6.2053546709888945,5.675345909561096e-08,Stationary
shoulder.R ZROT,-6.776896657806483,2.557165088122335e-09,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-4.166772696061985,0.0007496302327263707,Stationary
upper_arm.R YROT,-4.657342741355677,0.00010113053927440852,Stationary
upper_arm.R ZROT,-4.007832039401226,0.0013700511069301012,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-3.698296631736557,0.004137177432282751,Stationary
forearm.R YROT,-4.159496955835445,0.0007710046715446352,Stationary
forearm.R ZROT,-3.5450900591656547,0.006901843572335895,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-10.692822036035626,3.6885023735582025e-19,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-10.596485686441397,6.330217580059636e-19,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-10.6853349429461,3.846246599082872e-19,Stationary
thigh.L XROT,-6.063933277253734,1.1942486183079297e-07,Stationary
thigh.L YROT,-8.920889585089324,1.0418713596928036e-14,Stationary
thigh.L ZROT,-7.421158438863263,6.730861714382349e-11,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-7.111491208529309,3.92846744169678e-10,Stationary
shin.L YROT,-6.729158745106732,3.329954918384043e-09,Stationary
shin.L ZROT,-7.257859542320197,1.712033657880088e-10,Stationary
foot.L XROT,-5.487078559576927,2.2175748815699985e-06,Stationary
foot.L YROT,-6.661528873082822,4.833464430995218e-09,Stationary
foot.L ZROT,-6.237959666697713,4.774102280952674e-08,Stationary
heel.02.L XROT,-7.560344058681897,3.02175354899489e-11,Stationary
heel.02.L YROT,-5.300134948920596,5.472129735124736e-06,Stationary
heel.02.L ZROT,-6.106198321004413,9.571732793198837e-08,Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-10.029730860700614,1.596780287875447e-17,Stationary
thigh.R XROT,-6.647594303155367,5.217999900309962e-09,Stationary
thigh.R YROT,-7.787121370505539,8.123784282544021e-12,Stationary
thigh.R ZROT,-7.542866835431972,3.342240154012088e-11,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-8.104019066227131,1.2771577875595692e-12,Stationary
shin.R YROT,-6.717182692560792,3.5575380291284194e-09,Stationary
shin.R ZROT,-8.577535440444018,7.888582494053876e-14,Stationary
foot.R XROT,-6.570869226986517,7.942415554355257e-09,Stationary
foot.R YROT,-6.616038534246813,6.203931647166167e-09,Stationary
foot.R ZROT,-6.471878561428421,1.3607782327509706e-08,Stationary
heel.02.R XROT,-6.823462875601124,1.9748814269756416e-09,Stationary
heel.02.R YROT,-6.885964833412612,1.3944026190968742e-09,Stationary
heel.02.R ZROT,-6.820678157855668,2.0056789719415565e-09,Stationary
