Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-4.610724632511312,0.00012341631787137356,Stationary
pelvis YPOS,-3.450430322595141,0.00935523475400793,Stationary
pelvis ZPOS,-3.490264056421077,0.008240682685819643,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-6.171349318227986,6.793273862881171e-08,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-3.7876979684011274,0.0030357187148863886,Stationary
spine YROT,-7.469874892591891,5.088083819474954e-11,Stationary
spine ZROT,-7.7818774444372405,8.375254015367867e-12,Stationary
spine.001 XROT,-6.853727130178973,1.6688833059276596e-09,Stationary
spine.001 YROT,-6.696554960862587,3.986082428207058e-09,Stationary
spine.001 ZROT,-6.545047647884224,9.143667084846498e-09,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.898793892611062,0.00204374134452794,Stationary
neck YROT,-6.513881751906819,1.08339609708631e-08,Stationary
neck ZROT,-5.586975386420612,1.3559859623489938e-06,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-5.245208118000639,7.103763613222961e-06,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-5.696098171207693,7.867843064846864e-07,Stationary
shoulder.L YROT,-7.343592374429389,1.0496074822551433e-10,Stationary
shoulder.L ZROT,-6.135336511044275,8.213066358550929e-08,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.982657087865566,2.401562926533842e-05,Stationary
upper_arm.L YROT,-6.10900652258734,9.431725182349768e-08,Stationary
upper_arm.L ZROT,-4.786836871115087,5.762855282547107e-05,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-3.751555423463863,0.003443728954230044,Stationary
forearm.L YROT,-4.996915651076373,2.2507214314825662e-05,Stationary
forearm.L ZROT,-4.439195176887168,0.0002528472315232486,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-5.720790603263579,6.949175512678618e-07,Stationary
shoulder.R YROT,-7.351120351751537,1.0053770865750779e-10,Stationary
shoulder.R ZROT,-6.3019906730869995,3.3944105486117357e-08,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-3.494192580079482,0.00813749954698947,Stationary
upper_arm.R YROT,-6.302834128525934,3.379150614134175e-08,Stationary
upper_arm.R ZROT,-3.4053804150884237,0.010776815406332527,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-2.088539099094407,0.24914798999444177,Non-Stationary
forearm.R YROT,-2.914083024532786,0.04373467204424157,Stationary
forearm.R ZROT,-1.9438294153928133,0.3117314088131069,Non-Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-7.117249186364035,3.80263625853563e-10,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-7.106802720873132,4.0339660066691465e-10,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-6.96141812423518,9.143852232699682e-10,Stationary
thigh.L XROT,-5.769650844191588,5.429712365190118e-07,Stationary
thigh.L YROT,-6.643697018083739,5.330848824671128e-09,Stationary
thigh.L ZROT,-8.027261878415674,2.001820842148673e-12,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-7.200422755126817,2.3734464349157354e-10,Stationary
shin.L YROT,-5.727701491647183,6.711407527781684e-07,Stationary
shin.L ZROT,-6.846339294107911,1.738950669243443e-09,Stationary
foot.L XROT,-5.331316109386925,4.714372805061985e-06,Stationary
foot.L YROT,-5.994194591612204,1.7170841528118202e-07,Stationary
foot.L ZROT,-6.433266769724722,1.676881494253819e-08,Stationary
heel.02.L XROT,-5.605754650073957,1.2353672644878672e-06,Stationary
heel.02.L YROT,-5.610049769859364,1.2092866247131473e-06,Stationary
heel.02.L ZROT,-5.337458435233081,4.577611570063093e-06,Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-6.921488575114088,1.1434416887931067e-09,Stationary
thigh.R XROT,-4.426791005825605,0.0002660502795205671,Stationary
thigh.R YROT,-7.531269137961873,3.573325558308838e-11,Stationary
thigh.R ZROT,-5.468519010919104,2.428093188388439e-06,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-6.339167304823126,2.782136256594775e-08,Stationary
shin.R YROT,-7.169288649935185,2.832105574653394e-10,Stationary
shin.R ZROT,-7.255528644832178,1.7349114816006891e-10,Stationary
foot.R XROT,-5.271027274515983,6.285306803318154e-06,Stationary
foot.R YROT,-6.3829738653996015,2.1990420082261364e-08,Stationary
foot.R ZROT,-6.709772205671424,3.7059830379135e-09,Stationary
heel.02.R XROT,-6.270219705036985,4.0213108594197655e-08,Stationary
heel.02.R YROT,-5.717466885594638,7.066438516658675e-07,Stationary
heel.02.R ZROT,-5.956793434512955,2.084037499254064e-07,Stationary
