Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-2.8763184608517616,0.04817195605348198,Stationary
pelvis YPOS,-2.2526420016186712,0.18769680994607135,Non-Stationary
pelvis ZPOS,-1.6554473926903324,0.45420101927816625,Non-Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-4.273866385858052,0.0004928493045226471,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-3.3015871216883785,0.014807678995887238,Stationary
spine YROT,-5.5863120815439675,1.3604498397246648e-06,Stationary
spine ZROT,-4.233615100032333,0.0005776913666916236,Stationary
spine.001 XROT,-4.7937792106167,5.58959277634365e-05,Stationary
spine.001 YROT,-2.281027985144228,0.17815984621204972,Non-Stationary
spine.001 ZROT,-2.321554549036856,0.16511040256564607,Non-Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-2.916577400944008,0.04345395339316183,Stationary
neck YROT,-1.6393583168450419,0.4625961106211907,Non-Stationary
neck ZROT,-1.0007347928633001,0.7529962080504408,Non-Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-5.270324561529813,6.306319967466031e-06,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-2.836885505732254,0.05319503618197269,Non-Stationary
shoulder.L YROT,-5.548121203505461,1.6431025245187944e-06,Stationary
shoulder.L ZROT,-2.962493577484866,0.03854860157206253,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-3.6385839906459903,0.005064812041417722,Stationary
upper_arm.L YROT,-3.8618073822324095,0.002334612619548114,Stationary
upper_arm.L ZROT,-3.9475656751030064,0.0017113802629115363,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-4.153967343225069,0.0007876305692348857,Stationary
forearm.L YROT,-5.231661157983426,7.573598624619931e-06,Stationary
forearm.L ZROT,-3.5807875149179,0.006139132160040385,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-2.846720119321919,0.05190380121806421,Non-Stationary
shoulder.R YROT,-5.705340710199028,7.510874205618374e-07,Stationary
shoulder.R ZROT,-2.914926649346249,0.04363956177063379,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-3.373386859689004,0.01190026733022661,Stationary
upper_arm.R YROT,-6.295136738230825,3.520952505024786e-08,Stationary
upper_arm.R ZROT,-3.4270160222419235,0.010071659144547945,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-2.8836564533886717,0.047281805953117165,Stationary
