Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-4.825449983982149,4.860622595644687e-05,Stationary
pelvis YPOS,-3.0527074471199764,0.030256834147714958,Stationary
pelvis ZPOS,-2.307917918144234,0.16942700076128703,Non-Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-3.0524737485228455,0.030276177250719568,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-2.9988283400676154,0.035003963540250586,Stationary
spine YROT,-3.5112876354793543,0.007701891909115279,Stationary
spine ZROT,-2.7553525826088148,0.06493976447935729,Non-Stationary
spine.001 XROT,-3.7715050858220325,0.003212686660867635,Stationary
spine.001 YROT,-4.273229535732807,0.0004940950102104357,Stationary
spine.001 ZROT,-3.897294746599276,0.002054846732555922,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-4.550761906674452,0.00015902983656848474,Stationary
neck YROT,-4.900238039147651,3.483717212016513e-05,Stationary
neck ZROT,-5.643594017421972,1.023266515033968e-06,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-4.4527118028142265,0.0002391690127344956,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-6.8793556883272435,1.4467711593556e-09,Stationary
shoulder.L YROT,-6.302460995875817,3.385893050164635e-08,Stationary
shoulder.L ZROT,-6.687951535922122,4.1795318869702085e-09,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-5.422679081538574,3.034832333984467e-06,Stationary
upper_arm.L YROT,-5.179534846340152,9.678521362040348e-06,Stationary
upper_arm.L ZROT,-5.219611758128553,8.016689990390825e-06,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-3.9908731130390973,0.0014590636022586243,Stationary
forearm.L YROT,-3.82116946746666,0.0026980001642788907,Stationary
forearm.L ZROT,-7.15559015556616,3.0607690665371407e-10,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-6.865019704857366,1.5671411282204449e-09,Stationary
shoulder.R YROT,-6.932801386779636,1.073326268773717e-09,Stationary
shoulder.R ZROT,-6.223280331568356,5.1609650788093415e-08,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-5.267255424963054,6.398897338517564e-06,Stationary
upper_arm.R YROT,-6.111376654617521,9.315124163857037e-08,Stationary
upper_arm.R ZROT,-5.272753046765796,6.2339889151096515e-06,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-7.080188896531785,4.688212042708848e-10,Stationary
forearm.R YROT,-7.0519369578898585,5.497886141251734e-10,Stationary
forearm.R ZROT,-7.607253249415831,2.3047060613292802e-11,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-5.438258707536576,2.8137004626275756e-06,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-5.4262855322784755,2.9821873444435207e-06,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,nan,-1,Constant
thigh.L XROT,-2.086229947189245,0.2500875361355067,Non-Stationary
thigh.L YROT,-4.969936946672271,2.5443164977176214e-05,Stationary
thigh.L ZROT,-3.0407758958218185,0.03125795337719587,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-1.9796214198760638,0.2955792506294145,Non-Stationary
shin.L YROT,-2.1443429512654495,0.22706174004711704,Non-Stationary
shin.L ZROT,-2.1005692787049957,0.24428575329665364,Non-Stationary
foot.L XROT,-2.191913858139187,0.20919333915611305,Non-Stationary
foot.L YROT,-3.638308405447247,0.005069500735239444,Stationary
foot.L ZROT,-3.922259842940454,0.0018769992431264275,Stationary
heel.02.L XROT,-2.970718263698404,0.037720913611851835,Stationary
heel.02.L YROT,-2.85879693986724,0.050353436794738304,Non-Stationary
heel.02.L ZROT,-1.7329630742604876,0.4142138984938794,Non-Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,nan,-1,Constant
thigh.R XROT,-5.408014634758875,3.258358066637146e-06,Stationary
thigh.R YROT,-2.207809081038264,0.203423429350979,Non-Stationary
thigh.R ZROT,-3.1602699595054986,0.022402698447202832,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-6.345682803490745,2.6866436894508913e-08,Stationary
shin.R YROT,-2.123094590944903,0.23533011353599004,Non-Stationary
shin.R ZROT,-6.821549883570181,1.995987443620823e-09,Stationary
foot.R XROT,-3.5999810700843278,0.00576138966092077,Stationary
foot.R YROT,-5.31184798837827,5.174558834090828e-06,Stationary
foot.R ZROT,-5.810971584455334,4.402382451971006e-07,Stationary
heel.02.R XROT,-3.076048123029662,0.02837726524002717,Stationary
heel.02.R YROT,-2.7475511387495195,0.06616504718835008,Non-Stationary
heel.02.R ZROT,-2.142044651907433,0.22794759745147875,Non-Stationary
