Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-7.144511139200013,3.259011099512467e-10,Stationary
pelvis YPOS,-2.061729266974719,0.2601791719868448,Non-Stationary
pelvis ZPOS,-4.799119439816952,5.459727317087441e-05,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-6.016605972669723,1.5283909273773804e-07,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-3.3701993602388076,0.012017707001213917,Stationary
spine YROT,-10.02413352195118,1.649123584384831e-17,Stationary
spine ZROT,-8.780091136825844,2.389645269660148e-14,Stationary
spine.001 XROT,-6.374956597649858,2.295915217168885e-08,Stationary
spine.001 YROT,-5.709753265703125,7.34607774567762e-07,Stationary
spine.001 ZROT,-5.93793979365244,2.29711684656661e-07,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.416433037914837,0.010411265061258652,Stationary
neck YROT,-8.963584714651105,8.100856397180433e-15,Stationary
neck ZROT,-8.842744946535783,1.6515395356912687e-14,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-4.648116439817919,0.00010521095886225894,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-6.163828152812114,7.068327960320175e-08,Stationary
shoulder.L YROT,-6.70877182246553,3.726485388504445e-09,Stationary
shoulder.L ZROT,-6.129421163578074,8.472616016192205e-08,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-2.2392494338577262,0.19230970556849186,Non-Stationary
upper_arm.L YROT,-5.539014456236056,1.7185232166956646e-06,Stationary
upper_arm.L ZROT,-2.5325269647126047,0.10775938569586113,Non-Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-5.30771259102248,5.277779994379445e-06,Stationary
forearm.L YROT,-3.2752678850970014,0.016020851562543046,Stationary
forearm.L ZROT,-5.800387852776539,4.645788043496874e-07,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-6.157561467164889,7.305835054252616e-08,Stationary
shoulder.R YROT,-6.680478067838463,4.355076383577601e-09,Stationary
shoulder.R ZROT,-6.037845073587634,1.3684091973713865e-07,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-3.0449147996678194,0.03090753245496846,Stationary
upper_arm.R YROT,-4.926277279003679,3.0991590966273694e-05,Stationary
upper_arm.R ZROT,-3.3944587614325616,0.01114922874253458,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-3.449170332850115,0.009392594001930672,Stationary
forearm.R YROT,-3.6602213620670585,0.004708769854018871,Stationary
forearm.R ZROT,-4.444494749710098,0.0002473980810667854,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-6.102307055865671,9.769115559380793e-08,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-6.237303057253808,4.7907809545639735e-08,Stationary
